respondent_id,scenario_id,primary_root_cause,secondary_root_cause,confidence_text,decision,primary_corrective_action,secondary_corrective_action,expected_effectiveness_text,urgency_text,confidence_1to5,expected_effectiveness,urgency_1to5,ScenarioID,coolant_flag,speed_drill_rpm,speed_ream_rpm,feed_mm_rev,tool_used_hr,tool_life_hr,pilot_hole_diam_mm,runout_mm,tool_overhang_mm,tool_wear_fraction
1,1,A3: Inappropriate spindle speed.,A1: Tool wear/ tool condition.,2- Low,D2: Scarp,C3: Adjust feed rate,C6: Correct runout/ alignment/ work holding,3: 70-90%,2: Low urgency,2.0,3.0,2.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
2,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
3,1,A3: Inappropriate spindle speed.,None (No secondary cause).,3- Medium,D3: Hold/further investigation,C2: Adjust feed speed,None,1: Less than 50%,2: Low urgency,3.0,1.0,2.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
4,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
5,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
6,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
7,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
8,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
9,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
10,1,A3: Inappropriate spindle speed.,None (No secondary cause).,3- Medium,D1: Rework,C5: Modify pilot hole size or drilling process,C6: Correct runout/ alignment/ work holding,3: 70-90%,4: High urgency,3.0,3.0,4.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
11,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
12,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
13,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
14,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
15,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
16,1,A1: Tool wear/ tool condition.,A2: Chip packing/ chip evacuation problem.,3- Medium,D2: Scarp,C2: Adjust feed speed,C2: Adjust feed speed,2: 50-70%,2: Low urgency,3.0,2.0,2.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
17,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
18,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
19,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,None,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
20,1,A3: Inappropriate spindle speed.,None (No secondary cause).,4- High,D1: Rework,C2: Adjust feed speed,C2: Adjust feed speed,3: 70-90%,3: Medium urgency,4.0,3.0,3.0,S01,1,600,200,0.1,10,1000,9.7,0.01,20,0.01
